text
"시우야, 너 이거 안 고쳐지면 사흘 뒤에 있을 경기 어쩔래?"
"이해하기 쉽게 설명하자면

초졸이라 사흘뜻을 몰라서

사흘이 3일인줄 알고 처물어보는 상황으로 만든 유머임"
4일인줄 알고 물어봤따 해야지
사흘이 3일맞아 임마 - dc App
사흘 나흘 - dc App
"시우는 초졸이라 사흘이 4일인줄 알고있는거고
씨맥이 사흘 뒤 경기 어떡할래?
-> 시우한테는 4일 뒤 경기 어떡할래 로 해석됨
그래서 시우가 우리 경기 3일 뒤 아님? 이라고 반문
이 간단한 드립도 이해 못할정도인가"
https://m.blog.naver.com/keepgoingssss/223650126938
걍 롤갤 자체가 거대한 시우임
롤거시 ㄷㄷㄷㄷ
이게 진짜라는거임..
찐 저지능이 가득하구만
"니들이 중졸 고졸 대졸하면 뭐하냐
지능이 낮은데"
댓글 초반엔 이새끼들 컨셉 좆되내 하고 내렸는데 내릴수록 얼굴 굳어짐
ㄹㅇ - dc App
롤갤 초졸 인증 왤케 많노 ㅋㅋㅋ
"사흘은 중졸급 단어라서
모르는 애들 꽤 있을걸?"
시발 ㅋㅋㅋㅋㅋㅋㅋㅋ 롤갤평균이 더딸리노
롤갤 갈드컵수준이 좆병신인 이유가 있었네 수준봐라 와.....
나만 이해못함? 뭐가 문제인거
나도 사흘 3일이니까 시우가 맞는말 했는데 머가 틀렸다는지 모르겠는데
시우가 사흘을 4일로 알아먹고 씨맥한테 3일 아니냐 이건듯 - dc App
@롤갤러29(118.235) 문해력 심각하네..
@ㅇㅇ(106.101) 시우가 사흘을 3일로 인지했으면 굳이 똑같이 되묻지않았겠지?
@롤갤러29(118.235) 응원하는 팀 빨리
@롤갤러29(118.235) 문해력 ㄹㅇ 처참하네 사흘 나흘 헷갈리는 것보다 곱절로 심각하노;
https://m.blog.naver.com/keepgoingssss/223650126938
실질적 문맹 - dc App
어학당 1년다닌 베트콩보다 못하노 - dc App
4흘이 4일 아니였음? 뭐가 문제임?
댓글에 저능아들이 많이 보이길레 글쓴이가 글 수정한 줄 알았음;
이건 노잼
4흘이잖아 ㅅㅂ 이런걸로 속일려하네
댓글창에 시우 왜이렇게 많냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
시우오브레전드갤러리 ㅋㅋ
"위 댓글중에 1/3은 진짜 장애인이네
알면서 사흘이 4일이잖아~
하는 애들 다 빼고 남은게"
반응이 갈리는 드립은 실패한 드립이다 - dc App
ㅅㅂ 이건 능지 문제잖아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
이 정도 글도 이해못하는 애새기 싸지른 년놈들이 실패한거겠지
이게 롤갤 평균임
지능이 낮아서 이해를 못한 것도 반응이 갈리는걸로 쳐야함?ㅋㅋㅋㅋ
https://m.blog.naver.com/keepgoingssss/223650126938
저능아한테 하니까 반응이 갈리긴하겠지
씨맥도 사흘 나흘 절대 구분 못할거같은데 ㅋㅋㅋㅋㅋㅋ
나이좀 되는놈들은 앵간해선 듣고 자라서 알걸ㅋㅋ
하루 이틀 사흘 나흘 게이들아..
컨셉인지 저능아인지 ㄹㅇ 구분안가는 댓글있노
이거 속이는 사람만 있는거 맞지? - dc App
시우갤
시우 존나 많네 여기
시우도 사흘이 3일인건 알겠다
초졸갤 ㅅㅂ
"롤갤은 학력드립치지마라

시발 시우보다 못한새기들이

수두룩하네"
이거 글쓴이가 원문 고침 그래서 반응 갈리는거 - dc App
념글 올라오기전에도 이 내용이었는데
롤갤 90%가 이대남인게 레전드 ㅋㅋㅋㅋ
사흘이 4일이지 ㅡㅡ
그저 롤대남들..
"셋 -> ㅅ ㅏ흘
넷 -> ㄴㅏ흘
간단한거다"
아오 시발 웃으면서 댓글내렸는데 보자마자 굳어지네 애들 지능 실화냐 나라가 걱정된다;
ㄹㅇㅋㅋㅋㅋㅋㅋㅋㅋ
사흘 나흘 난 커피광고 보고 알았는데 ㅋㅋ
글쓴이가 저능아들 댓글 노렸으면 정말 대단하다 ㅋㅋㅋ
? 나만 이해안됨? 사흘은 4일이니까 3일뒤에 대회한다는거 지적하는거잖아
젠평 ㅋㅋ
즙평인척하는 팔쿰ㅋㅋㅋㅋㅋㅋ - dc App
진지빨고 시우도 사흘은 안다
사흘이 4일 아님? 뭐가 문제냐
거대한 시우 갤러리 ㅅㅂㅋㅋㅋ
시우 ㅈㄴ 조아 ㅋㅋ - dc App
와 롤갤 좆병신새끼들 수준 레전드였구나 ㅋㅋㅋㅋㅋㅋ
이런 새끼들이 모의고사 비유 까고 지랄했던거냐? 진짜 미안하다 아픈애랑 말싸움해서
우영우갤 국평오갤을 잇는 시우갤 ㅋㅋ
시우갤러리 ㅋㅋㅋㅋㅋㅋㅋ
"사흘 나흘 진짜로 모르는 놈
문해력 ㅈ박아서 시우가 왜 되물었는지 모르는 놈
몰랐는데 알았던 척 하는 놈
다 합쳐야 1인분인 국내 시우 갤러리 ㄷㄷㄷ"
https://m.blog.naver.com/keepgoingssss/223650126938
이런 드립도 못알아먹는 새끼들이 페이커 기부한걸로 까고 소액기부 해서 금액 비공개한거다 ㅇㅈㄹ하고있다 이거지? ㅋㅋㅋㅋ
씨맥도 사흘 4일로 알만한 새낀데
하루 이틀 삼흘 사흘
댓글 초졸갤러리 난리낫네
"괜히 롤판에 젠첩들이 있는게 아님
걍 평균 지능 자체가 낮으니까 그 중 최하위 300명이 젠첩 된 거"
사흘 나흘ㅋㅋㅋㅋ
시우 프로 안했음 뭐했으려나 - dc App
하루 이틀 사흘 나흘은 초등학교때 배움...
"이해할 수도 없는 드립 치는 놈들이 젤 병신 같음 ㅉㅉ
설명이 필요한 드립은 망한 드립임"
https://m.blog.naver.com/keepgoingssss/223650126938
이건 정상적인 초졸이라면 당연히 이해해야 하는 드립이야.
일단 얘가 병신인건 100퍼다
"시우 새끼들 좀 왜워라 하루, 이틀, 사흘, 나흘"
"아니 병신들아 그걸 글쓴이가 모르는게아니고
시우가 사흘을 4일로알고 3일후아니에요?? 한거잖아..
국평오가 이래많네 ㅋㅋㅋ"
사흘이 어떻게 3일이야 ㅂㅅ들아 '사'흘인데 ㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 국평오새끼들 많네
셋 넷 병신아
